filepath,status
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_round_robin_arb_inputs_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p97_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_me_network_pkt_encode_data_resp_num_lce_p2_num_cce_p1_paddr_width_p22_block_size_in_bits_p512_max_num_flit_p4_x_cord_width_p1_y_cord_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p64_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_wormhole_router_adapter_out_max_num_flit_p4_max_payload_width_p518_x_cord_width_p1_y_cord_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p570_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p2_max_add_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p26_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p16_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_itlb_vaddr_width_p39_paddr_width_p22_eaddr_width_p64_tag_width_p10_btb_indx_width_p9_bht_indx_width_p5_ras_addr_width_p22_asid_width_p10_ppn_start_bit_p12_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_64_80000124_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mesh_router_dor_decoder_x_cord_width_p1_y_cord_width_p1_dirs_lp5_XY_order_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_round_robin_arb_inputs_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p16_max_add_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_wormhole_router_adapter_out_max_num_flit_p4_max_payload_width_p537_x_cord_width_p1_y_cord_width_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_cmd_data_width_p64_paddr_width_p22_lce_data_width_p512_sets_p64_ways_p8_num_cce_p1_num_lce_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p16_max_add_p15_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p136_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_lce_data_cmd_num_cce_p1_num_lce_p2_data_width_p64_paddr_width_p22_lce_data_width_p512_ways_p8_sets_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_segmented_segments_p8_segment_width_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_segmented_segments_p5_segment_width_p64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_swap_width_p128_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_round_robin_arb_inputs_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p8_els_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p131_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_scan_7_1_1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_pipe_mul_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_pipe_mul_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p600_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_en_width_p64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_lce_cmd_num_cce_p1_num_lce_p2_paddr_width_p22_lce_data_width_p512_sets_p64_ways_p8_data_width_p64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_encode_one_hot_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_en_width_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p8_els_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_cce_inst_decode_inst_width_p96_inst_addr_width_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mesh_router_dor_decoder_x_cord_width_p1_y_cord_width_p1_dirs_lp5_XY_order_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_2r1w_sync_synth_width_p64_els_p32_read_write_same_addr_p1_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_cce_reg_num_lce_p2_num_cce_p1_addr_width_p22_lce_assoc_p8_lce_sets_p64_block_size_in_bytes_p64_lce_req_data_width_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_shift_reg_width_p115_stages_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_itlb_vaddr_width_p39_paddr_width_p22_eaddr_width_p64_tag_width_p10_btb_indx_width_p9_bht_indx_width_p5_ras_addr_width_p22_asid_width_p10_ppn_start_bit_p12_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_cce_alu_width_p16_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_cmd_data_width_p64_paddr_width_p22_lce_data_width_p512_sets_p64_ways_p8_num_cce_p1_num_lce_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p32_els_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_lce_cmd_num_cce_p1_num_lce_p2_paddr_width_p22_lce_data_width_p512_sets_p64_ways_p8_data_width_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p109_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_cce_reg_num_lce_p2_num_cce_p1_addr_width_p22_lce_assoc_p8_lce_sets_p64_block_size_in_bytes_p64_lce_req_data_width_p64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_wbuf_queue_width_p97_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_shift_reg_width_p115_stages_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_scan_width_p5_or_p1_lo_to_hi_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p16_max_add_p15_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_swap_width_p256_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p16_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_swap_width_p64_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_en_width_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_pipe_fp_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p386_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_scan_width_p8_or_p1_lo_to_hi_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p64_els_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p32_els_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p99_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p30_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_swap_width_p64_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_decode_num_out_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_lru_pseudo_tree_decode_ways_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_en_width_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_segmented_segments_p8_segment_width_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_dcache_wbuf_queue_width_p97_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_req_data_width_p64_paddr_width_p22_num_cce_p1_num_lce_p2_sets_p64_ways_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_detector_vaddr_width_p39_paddr_width_p22_asid_width_p10_branch_metadata_fwd_width_p36_load_to_use_forwarding_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_pipe_fp_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p28_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_bht_bht_indx_width_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_wormhole_router_adapter_out_max_num_flit_p4_max_payload_width_p518_x_cord_width_p1_y_cord_width_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p320_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p38_els_p2_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p542_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p570_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_me_network_pkt_encode_data_cmd_num_lce_p2_lce_assoc_p8_block_size_in_bits_p512_max_num_flit_p4_x_cord_width_p1_y_cord_width_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p136_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p131_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p222_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p537_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_me_network_pkt_encode_data_resp_num_lce_p2_num_cce_p1_paddr_width_p22_block_size_in_bits_p512_max_num_flit_p4_x_cord_width_p1_y_cord_width_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_circular_ptr_slots_p16_max_add_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_decode_num_out_p8_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_be_detector_vaddr_width_p39_paddr_width_p22_asid_width_p10_branch_metadata_fwd_width_p36_load_to_use_forwarding_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p600_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_64_80000124_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p109_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p131_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p131_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p136_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p64_els_p2_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p136_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p134_els_p8_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_round_robin_arb_inputs_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p131_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p38_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p136_els_p4_area.sh,Successful
